,"CH","FE","LU","PA","PH","PL","PR","RB","RP","RE","RS","WC","MA","SO","KI","LA","WH","RA","PE","RR","MAxWH","MAxRA","MAxPE","MAxRR","SOxWH","SOxRA","SOxPE","SOxRR","KIxWH","KIxRA","KIxPE","KIxRR","LAxWH","LAxRA","LAxPE","LAxRR"
"Jan", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.750415196274E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.011043733660E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 7.952207475271E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Feb", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.413498996991E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 8.831339103697E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 7.222742422046E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 6.946152624164E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Mar", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.498696196810E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 6.773659337722E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.738460308354E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.525566130401E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Apr", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.398008597024E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 5.094147744954E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.321014368215E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.131892493011E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"May", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.246977197346E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.057679765975E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.606717981756E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.458273157922E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Jun", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.192760797461E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.077953124247E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.959619883895E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Jul", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.339919597148E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.571481932299E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.368096675445E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Aug", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.098949195532E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.200418874398E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.018164553321E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Sep", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.218999795277E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 3.114326132286E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 4.647564800212E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 4.382899829605E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Oct", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.273216195161E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 6.929375644336E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.758408913674E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Nov", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.114439595499E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 6.807027117711E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 5.353961468499E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Dec", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.622619396546E+02, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 9.064913563618E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 7.129866988279E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
